score,group
0.451641,cross
0.464419,cross
0.456667,cross
0.500000,cross
0.471086,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.485530,cross
0.544167,cross
0.494167,cross
0.442260,cross
0.475997,cross
0.477197,cross
0.462500,cross
0.448030,cross
0.463030,cross
0.462500,cross
0.494167,cross
0.466162,cross
0.439697,cross
0.443447,cross
0.419167,cross
0.437247,cross
0.483333,cross
0.466641,cross
0.461553,cross
0.377652,cross
0.377740,cross
0.449268,cross
0.436364,cross
0.460391,cross
0.458346,cross
0.409823,cross
0.451755,cross
0.461578,cross
0.489141,cross
0.550000,cross
0.500000,cross
0.445871,cross
0.474609,cross
0.475177,cross
0.456667,cross
0.451641,cross
0.464419,cross
0.456667,cross
0.500000,cross
0.471086,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.489141,cross
0.550000,cross
0.500000,cross
0.445871,cross
0.474609,cross
0.475177,cross
0.456667,cross
0.451641,cross
0.464419,cross
0.456667,cross
0.500000,cross
0.471086,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.477664,cross
0.533851,cross
0.483851,cross
0.431667,cross
0.467513,cross
0.469495,cross
0.443649,cross
0.440164,cross
0.458712,cross
0.443649,cross
0.483851,cross
0.472210,cross
0.427285,cross
0.429722,cross
0.408851,cross
0.426376,cross
0.464482,cross
0.460189,cross
0.456073,cross
0.385013,cross
0.383005,cross
0.455442,cross
0.436275,cross
0.462803,cross
0.466843,cross
0.400278,cross
0.440619,cross
0.458030,cross
0.489141,cross
0.550000,cross
0.500000,cross
0.445871,cross
0.474609,cross
0.475177,cross
0.456667,cross
0.451641,cross
0.464419,cross
0.456667,cross
0.500000,cross
0.471086,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.434343,cross
0.472273,cross
0.438939,cross
0.404091,cross
0.428510,cross
0.422109,cross
0.397828,cross
0.396843,cross
0.533359,cross
0.459138,cross
0.438939,cross
0.394104,cross
0.397146,cross
0.394495,cross
0.415130,cross
0.391919,cross
0.401995,cross
0.397247,cross
0.387500,cross
0.418472,cross
0.420379,cross
0.520114,cross
0.501780,cross
0.526490,cross
0.524646,cross
0.455947,cross
0.525101,cross
0.527374,cross
0.429192,cross
0.457601,cross
0.424268,cross
0.388194,cross
0.432374,cross
0.436856,cross
0.388788,cross
0.391692,cross
0.526351,cross
0.450097,cross
0.424268,cross
0.392071,cross
0.384015,cross
0.392083,cross
0.400458,cross
0.390328,cross
0.392955,cross
0.400051,cross
0.396768,cross
0.419179,cross
0.420657,cross
0.519609,cross
0.500859,cross
0.523497,cross
0.522740,cross
0.453333,cross
0.522424,cross
0.529836,cross
0.641553,cross
0.443851,cross
0.493851,cross
0.458737,cross
0.491199,cross
0.496490,cross
0.455240,cross
0.454053,cross
0.450009,cross
0.530240,cross
0.493851,cross
0.384874,cross
0.454129,cross
0.460808,cross
0.483732,cross
0.452109,cross
0.392740,cross
0.401073,cross
0.386313,cross
0.366165,cross
0.374751,cross
0.448645,cross
0.427181,cross
0.450577,cross
0.441777,cross
0.408728,cross
0.450969,cross
0.451726,cross
0.485240,cross
0.494836,cross
0.464141,cross
0.496490,cross
0.435530,cross
0.433283,cross
0.423990,cross
0.354293,cross
0.358422,cross
0.421136,cross
0.401414,cross
0.431351,cross
0.416806,cross
0.388359,cross
0.422235,cross
0.426010,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.489836,cross
0.492336,cross
0.475000,cross
0.489268,cross
0.444167,cross
0.435732,cross
0.426768,cross
0.360429,cross
0.361427,cross
0.416414,cross
0.405732,cross
0.430669,cross
0.425215,cross
0.384545,cross
0.422033,cross
0.430606,cross
0.538737,cross
0.526086,cross
0.485752,cross
0.531578,cross
0.453570,cross
0.450640,cross
0.447484,cross
0.364095,cross
0.370319,cross
0.381932,cross
0.366439,cross
0.385240,cross
0.388396,cross
0.403387,cross
0.391692,cross
0.391124,cross
0.492121,cross
0.495922,cross
0.449609,cross
0.498434,cross
0.425997,cross
0.430455,cross
0.426528,cross
0.361199,cross
0.364697,cross
0.422109,cross
0.401427,cross
0.420568,cross
0.424192,cross
0.394129,cross
0.424268,cross
0.422311,cross
0.491402,cross
0.498636,cross
0.450177,cross
0.492033,cross
0.427197,cross
0.435694,cross
0.430215,cross
0.355429,cross
0.357109,cross
0.422197,cross
0.405669,cross
0.424268,cross
0.422374,cross
0.391831,cross
0.424104,cross
0.427449,cross
0.527197,cross
0.530947,cross
0.496548,cross
0.524747,cross
0.473810,cross
0.457118,cross
0.452029,cross
0.370509,cross
0.370597,cross
0.378434,cross
0.365530,cross
0.389558,cross
0.387513,cross
0.402680,cross
0.380922,cross
0.390745,cross
0.522740,cross
0.532336,cross
0.491522,cross
0.533990,cross
0.459340,cross
0.457092,cross
0.447799,cross
0.367983,cross
0.372112,cross
0.383636,cross
0.363914,cross
0.393851,cross
0.379306,cross
0.402049,cross
0.384735,cross
0.388510,cross
0.395101,cross
0.394823,cross
0.407276,cross
0.386692,cross
0.396364,cross
0.394343,cross
0.397172,cross
0.416679,cross
0.415859,cross
0.517513,cross
0.492311,cross
0.523990,cross
0.526894,cross
0.448699,cross
0.518359,cross
0.531288,cross
0.452197,cross
0.455947,cross
0.496548,cross
0.449747,cross
0.412500,cross
0.395808,cross
0.390720,cross
0.370509,cross
0.370597,cross
0.439744,cross
0.426840,cross
0.450868,cross
0.448822,cross
0.402680,cross
0.442231,cross
0.452054,cross
0.489836,cross
0.492336,cross
0.475000,cross
0.489268,cross
0.444167,cross
0.435732,cross
0.426768,cross
0.360429,cross
0.361427,cross
0.416414,cross
0.405732,cross
0.430669,cross
0.425215,cross
0.384545,cross
0.422033,cross
0.430606,cross
0.592282,cross
0.442850,cross
0.413943,cross
0.437623,cross
0.532828,cross
0.528371,cross
0.524205,cross
0.389861,cross
0.390997,cross
0.386831,cross
0.375038,cross
0.397247,cross
0.401907,cross
0.407020,cross
0.383472,cross
0.397904,cross
0.372201,cross
0.378927,cross
0.357538,cross
0.381970,cross
0.387917,cross
0.403589,cross
0.391288,cross
0.398144,cross
0.372390,cross
0.387879,cross
0.365101,cross
0.390177,cross
0.379987,cross
0.414158,cross
0.386831,cross
0.383131,cross
0.398927,cross
0.392605,cross
0.381923,cross
0.406860,cross
0.401405,cross
0.422045,cross
0.398223,cross
0.406797,cross
0.372251,cross
0.386427,cross
0.356768,cross
0.386364,cross
0.379306,cross
0.411089,cross
0.387677,cross
0.387854,cross
0.384407,cross
0.382601,cross
0.369697,cross
0.393725,cross
0.391679,cross
0.416490,cross
0.385088,cross
0.394912,cross
0.390177,cross
0.391780,cross
0.373308,cross
0.395795,cross
0.389040,cross
0.422109,cross
0.392854,cross
0.393359,cross
0.381604,cross
0.378409,cross
0.358548,cross
0.387614,cross
0.389040,cross
0.408106,cross
0.387866,cross
0.405884,cross
0.688434,cross
0.433737,cross
0.453333,cross
0.433763,cross
0.427879,cross
0.496881,cross
0.427929,cross
0.416061,cross
0.687348,within
0.492348,within
0.542348,within
0.544848,within
0.544848,within
0.544848,within
0.425682,within
0.475682,within
0.628217,within
0.629975,within
0.529975,within
0.532197,within
0.532197,within
0.532197,within
0.413308,within
0.463308,within
0.509331,within
0.650000,within
0.494167,within
0.494167,within
0.494167,within
0.460000,within
0.433333,within
0.463295,within
0.694167,within
0.544167,within
0.544167,within
0.433333,within
0.483333,within
0.513295,within
0.700000,within
0.550000,within
0.427500,within
0.477500,within
0.517816,within
0.700000,within
0.427500,within
0.477500,within
0.517816,within
0.577500,within
0.477500,within
0.517816,within
0.625000,within
0.396629,within
0.596629,within
0.599242,within
0.450846,within
0.524609,within
0.505442,within
0.526705,within
0.515871,within
0.453624,within
0.523990,within
0.471679,within
0.668245,within
0.457778,within
0.422008,within
0.461452,within
0.430152,within
0.523056,within
0.451604,within
0.414066,within
0.608927,within
0.434419,within
0.455947,within
0.437386,within
0.533649,within
0.469545,within
0.399104,within
0.659217,within
0.528990,within
0.508864,within
0.453902,within
0.526023,within
0.481970,within
0.650101,within
0.531919,within
0.426970,within
0.496515,within
0.454129,within
0.652247,within
0.457803,within
0.524975,within
0.478965,within
0.585846,within
0.506982,within
0.457449,within
0.622184,within
0.408068,within
0.623018,within
0.593144,within
0.456199,within
0.485846,within
0.388876,within
0.400846,within
0.390909,within
0.393662,within
0.564545,within
0.401212,within
0.459255,within
0.412904,within
0.453561,within
0.448990,within
0.656313,within
0.443548,within
0.398876,within
0.433611,within
0.435859,within
0.565429,within
0.419217,within
0.421604,within
0.413220,within
0.639104,within
0.527790,within
0.531856,within
0.643447,within
0.483422,within
0.685025,within
0.671338,within
0.533157,within
0.525126,within
0.413220,within
0.423472,within
0.421414,within
0.454975,within
0.508220,within
0.675720,within
0.512513,within
0.417399,within
0.421629,within
0.410997,within
0.445783,within
0.495518,within
0.669975,within
0.418712,within
0.427311,within
0.430808,within
0.452854,within
0.505290,within
0.571553,within
0.427513,within
0.427386,within
0.444407,within
0.498927,within
0.671894,within
0.475114,within
0.481705,within
0.426818,within
0.618409,within
0.493270,within
0.452475,within
0.656692,within
0.400631,within
0.583018,within
0.668295,cross
0.609886,cross
0.604444,cross
0.598988,cross
0.505581,cross
0.526414,cross
0.506136,cross
0.457576,cross
0.527475,cross
0.480240,cross
0.498977,cross
0.459141,cross
0.479470,cross
0.451338,cross
0.406755,cross
0.372235,cross
0.406717,cross
0.407879,cross
0.458169,cross
0.459823,cross
0.457601,cross
0.454407,cross
0.393561,cross
0.380884,cross
0.384962,cross
0.406351,cross
0.434798,cross
0.521629,cross
0.569947,cross
0.601528,cross
0.677247,cross
0.648081,cross
0.592321,cross
0.507374,cross
0.456477,cross
0.525808,cross
0.481212,cross
0.493927,cross
0.452121,cross
0.477121,cross
0.442652,cross
0.407184,cross
0.374596,cross
0.401982,cross
0.405871,cross
0.450316,cross
0.464962,cross
0.461364,cross
0.445303,cross
0.384949,cross
0.379432,cross
0.381843,cross
0.400303,cross
0.430846,cross
0.470795,cross
0.405076,cross
0.401136,cross
0.591487,cross
0.601364,cross
0.628308,cross
0.601010,cross
0.474821,cross
0.474571,cross
0.528018,cross
0.446073,cross
0.407323,cross
0.523333,cross
0.497323,cross
0.435240,cross
0.399609,cross
0.428662,cross
0.433864,cross
0.410732,cross
0.413662,cross
0.401061,cross
0.401275,cross
0.413990,cross
0.403409,cross
0.404684,cross
0.432336,cross
0.389747,cross
0.520795,cross
0.455076,cross
0.451136,cross
0.531288,cross
0.501364,cross
0.638508,cross
0.651010,cross
0.606894,cross
0.674571,cross
0.545945,cross
0.496073,cross
0.457323,cross
0.473333,cross
0.447323,cross
0.408573,cross
0.372942,cross
0.401995,cross
0.407197,cross
0.460732,cross
0.463662,cross
0.451061,cross
0.451275,cross
0.390657,cross
0.380076,cross
0.378018,cross
0.405669,cross
0.439747,cross
0.514962,cross
0.456957,cross
0.453838,cross
0.534899,cross
0.502753,cross
0.523788,cross
0.505530,cross
0.567573,cross
0.675960,cross
0.669997,cross
0.648775,cross
0.457525,cross
0.477854,cross
0.448914,cross
0.408775,cross
0.370720,cross
0.403384,cross
0.407677,cross
0.459684,cross
0.461439,cross
0.454672,cross
0.453699,cross
0.393157,cross
0.381187,cross
0.381629,cross
0.408371,cross
0.435505,cross
0.514962,cross
0.456957,cross
0.453838,cross
0.534899,cross
0.502753,cross
0.523788,cross
0.505530,cross
0.457374,cross
0.525960,cross
0.629129,cross
0.689644,cross
0.567725,cross
0.588053,cross
0.516842,cross
0.408775,cross
0.370720,cross
0.403384,cross
0.407677,cross
0.459684,cross
0.461439,cross
0.454672,cross
0.453699,cross
0.393157,cross
0.381187,cross
0.381629,cross
0.408371,cross
0.435505,cross
0.514962,cross
0.456957,cross
0.453838,cross
0.534899,cross
0.502753,cross
0.523788,cross
0.505530,cross
0.457374,cross
0.525960,cross
0.479129,cross
0.566703,cross
0.567725,cross
0.668722,cross
0.598914,cross
0.476703,cross
0.438647,cross
0.403384,cross
0.407677,cross
0.459684,cross
0.461439,cross
0.454672,cross
0.453699,cross
0.393157,cross
0.381187,cross
0.381629,cross
0.408371,cross
0.435505,cross
0.404129,cross
0.446742,cross
0.442803,cross
0.414621,cross
0.384697,cross
0.411641,cross
0.384343,cross
0.448561,cross
0.407904,cross
0.438018,cross
0.379407,cross
0.448990,cross
0.543533,cross
0.517523,cross
0.635439,cross
0.680477,cross
0.628861,cross
0.523864,cross
0.452399,cross
0.455328,cross
0.442727,cross
0.442942,cross
0.490657,cross
0.480076,cross
0.494684,cross
0.522336,cross
0.423081,cross
0.454129,cross
0.521742,cross
0.517803,cross
0.464621,cross
0.434697,cross
0.461641,cross
0.434343,cross
0.523561,cross
0.457904,cross
0.411351,cross
0.429407,cross
0.523990,cross
0.406667,cross
0.380657,cross
0.518167,cross
0.564609,cross
0.553861,cross
0.448864,cross
0.527399,cross
0.530328,cross
0.517727,cross
0.517942,cross
0.423990,cross
0.413409,cross
0.419684,cross
0.447336,cross
0.498081,cross
0.665720,cross
0.444104,cross
0.456755,cross
0.519066,cross
0.520240,cross
0.518788,cross
0.516692,cross
0.449306,cross
0.520240,cross
0.465379,cross
0.533005,cross
0.454053,cross
0.469609,cross
0.484482,cross
0.395013,cross
0.389937,cross
0.403005,cross
0.471640,cross
0.511286,cross
0.439899,cross
0.445985,cross
0.446944,cross
0.377235,cross
0.383068,cross
0.404179,cross
0.404962,cross
0.433977,cross
0.508851,cross
0.469280,cross
0.469659,cross
0.462879,cross
0.409672,cross
0.381755,cross
0.412664,cross
0.554053,cross
0.607677,cross
0.450303,cross
0.456894,cross
0.443497,cross
0.381553,cross
0.390429,cross
0.391894,cross
0.409621,cross
0.443359,cross
0.424583,cross
0.523422,cross
0.415997,cross
0.381237,cross
0.454167,cross
0.414470,cross
0.445997,cross
0.558899,cross
0.677449,cross
0.589215,cross
0.531187,cross
0.515783,cross
0.412639,cross
0.417260,cross
0.418535,cross
0.450354,cross
0.497765,cross
0.444482,cross
0.517588,cross
0.403535,cross
0.393232,cross
0.448295,cross
0.408902,cross
0.450417,cross
0.463169,cross
0.664672,cross
0.664684,cross
0.524104,cross
0.513914,cross
0.410934,cross
0.428649,cross
0.428965,cross
0.453018,cross
0.502614,cross
0.502955,cross
0.459318,cross
0.476035,cross
0.455518,cross
0.409735,cross
0.375379,cross
0.402311,cross
0.409331,cross
0.569391,cross
0.611780,cross
0.526779,cross
0.445707,cross
0.390177,cross
0.393586,cross
0.383485,cross
0.410025,cross
0.444268,cross
0.529558,cross
0.435985,cross
0.450631,cross
0.475303,cross
0.378422,cross
0.412260,cross
0.385303,cross
0.384419,cross
0.430240,cross
0.575328,cross
0.582601,cross
0.432942,cross
0.386793,cross
0.367879,cross
0.416705,cross
0.383371,cross
0.415859,cross
0.502247,cross
0.461414,cross
0.478056,cross
0.466174,cross
0.414255,cross
0.372854,cross
0.403763,cross
0.402879,cross
0.471982,cross
0.565843,cross
0.615139,cross
0.521703,cross
0.383283,cross
0.395859,cross
0.385846,cross
0.416578,cross
0.449545,cross
0.520303,cross
0.438056,cross
0.451313,cross
0.464331,cross
0.385013,cross
0.407121,cross
0.394407,cross
0.388295,cross
0.430025,cross
0.431629,cross
0.585644,cross
0.581136,cross
0.387348,cross
0.370707,cross
0.402955,cross
0.387121,cross
0.414596,cross
0.442487,cross
0.524672,cross
0.412298,cross
0.389874,cross
0.463598,cross
0.414596,cross
0.453965,cross
0.463030,cross
0.517159,cross
0.520013,cross
0.638003,cross
0.668699,cross
0.485099,cross
0.428157,cross
0.426402,cross
0.457740,cross
0.502955,cross
0.504280,cross
0.455985,cross
0.473611,cross
0.457740,cross
0.412601,cross
0.367121,cross
0.422538,cross
0.424836,cross
0.450934,cross
0.455467,cross
0.456692,cross
0.598838,cross
0.533030,cross
0.394255,cross
0.387045,cross
0.417891,cross
0.446073,cross
0.601061,cross
0.406616,cross
0.534255,cross
0.504306,cross
0.439937,cross
0.415530,cross
0.435745,cross
0.431629,cross
0.408624,cross
0.413093,cross
0.415088,cross
0.504025,cross
0.520843,cross
0.411831,cross
0.411692,cross
0.437942,cross
0.388548,cross
0.429949,cross
0.418990,cross
0.439343,cross
0.439268,cross
0.480162,cross
0.485313,cross
0.412866,cross
0.392462,cross
0.423093,cross
0.528447,cross
0.513283,cross
0.522513,cross
0.523308,cross
0.568056,cross
0.615881,cross
0.502031,cross
0.457525,cross
0.505467,cross
0.412033,cross
0.409343,cross
0.418838,cross
0.399533,cross
0.476185,cross
0.519215,cross
0.482940,cross
0.440417,cross
0.390278,cross
0.391086,cross
0.373422,cross
0.391389,cross
0.397879,cross
0.394949,cross
0.515641,cross
0.586667,cross
0.494215,cross
0.382816,cross
0.453902,cross
0.448005,cross
0.457462,cross
0.443220,cross
0.480290,cross
0.603634,cross
0.697838,cross
0.645705,cross
0.429545,cross
0.414179,cross
0.411199,cross
0.424962,cross
0.414179,cross
0.473093,cross
0.456616,cross
0.630780,cross
0.600149,cross
0.384293,cross
0.441692,cross
0.440657,cross
0.447449,cross
0.439596,cross
0.483712,cross
0.491528,cross
0.582890,cross
0.723608,cross
0.574861,cross
0.590303,cross
0.442247,cross
0.446061,cross
0.438434,cross
0.480732,cross
0.491275,cross
0.511351,cross
0.682260,cross
0.578927,cross
0.869167,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.869167,within
0.867171,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.875000,within
0.865782,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.869167,within
0.867171,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.869167,within
0.867171,within
0.875000,within
0.875000,within
0.869167,within
0.875000,within
0.865782,within
0.875000,within
0.869167,within
0.875000,within
0.865782,within
0.869167,within
0.875000,within
0.865782,within
0.869167,within
0.867171,within
0.865782,within
0.976894,within
0.975114,within
0.983712,within
0.968977,within
0.976894,within
0.968977,within
0.975783,within
0.968977,within
0.934273,within
0.975644,within
0.990253,within
0.980530,within
1.000000,within
0.980530,within
0.992525,within
0.980530,within
0.934614,within
0.971212,within
0.990795,within
0.975644,within
0.990795,within
0.971806,within
0.990795,within
0.938794,within
0.974621,within
0.990253,within
0.974621,within
0.987323,within
0.974621,within
0.933503,within
0.980530,within
1.000000,within
0.972146,within
1.000000,within
0.938566,within
0.980530,within
0.992525,within
0.980530,within
0.934614,within
0.972146,within
1.000000,within
0.938566,within
0.972146,within
0.932796,within
0.938566,within
0.619405,within
0.947172,within
0.937253,within
0.626375,within
0.942172,within
0.624898,within
0.647057,within
0.921357,within
0.981136,within
0.644266,within
0.963977,within
0.912114,within
0.644266,within
0.970720,within
0.623155,within
0.912102,within
0.910321,within
0.928869,within
0.648307,within
0.967917,within
0.633080,within
0.525644,cross
0.530581,cross
0.524646,cross
0.531149,cross
0.530783,cross
0.530581,cross
0.530783,cross
0.532399,cross
0.530783,cross
0.572727,cross
0.541338,cross
0.570025,cross
0.566641,cross
0.501768,cross
0.573359,cross
0.570290,cross
0.565442,cross
0.525783,cross
0.530581,cross
0.523056,cross
0.532121,cross
0.527374,cross
0.530581,cross
0.527374,cross
0.531288,cross
0.527374,cross
0.569318,cross
0.540227,cross
0.568914,cross
0.572614,cross
0.501970,cross
0.572247,cross
0.564457,cross
0.560922,cross
0.525644,cross
0.530581,cross
0.524646,cross
0.531149,cross
0.530783,cross
0.530581,cross
0.530783,cross
0.532399,cross
0.530783,cross
0.572727,cross
0.541338,cross
0.570025,cross
0.566641,cross
0.501768,cross
0.573359,cross
0.570290,cross
0.565442,cross
0.525644,cross
0.530581,cross
0.524646,cross
0.531149,cross
0.530783,cross
0.530581,cross
0.530783,cross
0.532399,cross
0.530783,cross
0.572727,cross
0.541338,cross
0.570025,cross
0.566641,cross
0.501768,cross
0.573359,cross
0.570290,cross
0.565442,cross
0.525783,cross
0.530581,cross
0.523056,cross
0.532121,cross
0.527374,cross
0.530581,cross
0.527374,cross
0.531288,cross
0.527374,cross
0.569318,cross
0.540227,cross
0.568914,cross
0.572614,cross
0.501970,cross
0.572247,cross
0.564457,cross
0.560922,cross
0.525783,cross
0.530581,cross
0.523056,cross
0.532121,cross
0.527374,cross
0.530581,cross
0.527374,cross
0.531288,cross
0.527374,cross
0.569318,cross
0.540227,cross
0.568914,cross
0.572614,cross
0.501970,cross
0.572247,cross
0.564457,cross
0.560922,cross
0.525783,cross
0.530581,cross
0.523056,cross
0.532121,cross
0.527374,cross
0.530581,cross
0.527374,cross
0.531288,cross
0.527374,cross
0.569318,cross
0.540227,cross
0.568914,cross
0.572614,cross
0.501970,cross
0.572247,cross
0.564457,cross
0.560922,cross
0.525644,cross
0.530581,cross
0.524646,cross
0.531149,cross
0.530783,cross
0.530581,cross
0.530783,cross
0.532399,cross
0.530783,cross
0.572727,cross
0.541338,cross
0.570025,cross
0.566641,cross
0.501768,cross
0.573359,cross
0.570290,cross
0.565442,cross
0.525783,cross
0.530581,cross
0.523056,cross
0.532121,cross
0.527374,cross
0.530581,cross
0.527374,cross
0.531288,cross
0.527374,cross
0.569318,cross
0.540227,cross
0.568914,cross
0.572614,cross
0.501970,cross
0.572247,cross
0.564457,cross
0.560922,cross
0.641334,cross
0.649086,cross
0.634856,cross
0.650740,cross
0.646561,cross
0.649086,cross
0.646561,cross
0.646157,cross
0.646561,cross
0.690430,cross
0.665809,cross
0.588759,cross
0.690607,cross
0.614793,cross
0.593506,cross
0.686402,cross
0.581044,cross
0.915384,cross
0.941571,cross
0.939273,cross
0.964078,cross
0.942884,cross
0.935182,cross
0.922316,cross
0.911836,cross
0.929261,cross
0.943112,cross
0.945972,cross
0.937316,cross
0.935725,cross
0.919387,cross
0.901066,cross
0.928983,cross
0.922455,cross
0.956351,cross
0.931205,cross
0.944362,cross
0.930498,cross
0.912746,cross
0.931622,cross
0.947632,cross
0.955240,cross
0.938023,cross
0.933162,cross
0.922114,cross
0.905044,cross
0.928074,cross
0.930182,cross
0.948056,cross
0.933932,cross
0.939475,cross
0.925839,cross
0.911836,cross
0.929261,cross
0.943112,cross
0.945972,cross
0.937316,cross
0.935725,cross
0.919387,cross
0.905044,cross
0.928074,cross
0.930182,cross
0.948056,cross
0.933932,cross
0.939475,cross
0.925839,cross
0.910220,cross
0.934210,cross
0.940182,cross
0.951629,cross
0.933680,cross
0.934109,cross
0.924842,cross
0.905044,cross
0.928074,cross
0.930182,cross
0.948056,cross
0.933932,cross
0.939475,cross
0.925839,cross
0.951768,cross
0.645592,cross
0.975808,cross
0.913869,cross
0.647739,cross
0.986578,cross
0.640239,cross
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.937400,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.937400,within
0.875000,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.938511,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.938511,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.938511,within
0.875000,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.938511,within
0.869167,within
0.869167,within
0.869167,within
0.869167,within
0.875000,within
0.875000,within
0.938511,within
0.875000,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.937400,within
0.875000,within
0.875000,within
0.869167,within
0.869167,within
0.937400,within
0.875000,within
0.869167,within
0.869167,within
0.937400,within
0.869167,within
0.869167,within
0.937400,within
0.875000,within
0.938511,within
0.938511,within
0.901976,within
0.901976,within
0.901976,within
